id;city;contract_company;country;created_by;created_on;district_logo;district_name;email;food_service_options;is_active;last_updated_by;last_updated_on;phone_number;school_district_id;site_code;state
1;Kamilleport;well-groomed psst;Bahamas;10515;2024-10-04;../fake-data/blob/hipster.txt;vivaciously though wherever;Estella_Mayer@yahoo.com;waltz gah;true;31523;2024-10-04;defiantly;9484;an boohoo invite;13642
2;Murazikton;positively since;Kazakhstan;9347;2024-10-04;../fake-data/blob/hipster.txt;phew than;Camren.Smitham@yahoo.com;however;true;11328;2024-10-04;thoughtfully metabolite bogus;9416;frankly;6298
3;Roryfurt;yahoo;Finland;19491;2024-10-04;../fake-data/blob/hipster.txt;pro;Gillian.Ankunding68@gmail.com;wrong eventually fully;true;7583;2024-10-04;pillory horn;29706;out through amid;11135
4;Terrybury;parody why;Paraguay;9533;2024-10-04;../fake-data/blob/hipster.txt;gadzooks tank since;Gregg88@gmail.com;sock since decision;false;25248;2024-10-04;onto ah nautical;8667;redress;13674
5;Port Marge;unripe ick loosely;Jersey;19606;2024-10-03;../fake-data/blob/hipster.txt;drat modulo thoughtfully;Jaydon_Toy58@hotmail.com;aside earnest reassuringly;false;241;2024-10-04;strictly during;22237;since collaborate;14610
6;Jaquanland;responsible tangible hmph;South Sudan;21126;2024-10-04;../fake-data/blob/hipster.txt;rebuke institute instead;Toney.Stanton@gmail.com;unkempt;false;25942;2024-10-04;down;13189;before hawk;23070
7;Freeport;primary circa;Heard Island and McDonald Islands;6847;2024-10-04;../fake-data/blob/hipster.txt;disbar inasmuch;Elyse43@gmail.com;given consequently plumber;false;31600;2024-10-04;excepting;8989;until daintily hopelessly;12427
8;Doylestad;lest suddenly bind;Monaco;1406;2024-10-03;../fake-data/blob/hipster.txt;treasure frankly dredger;Sherman_Greenfelder@gmail.com;inside;true;17507;2024-10-04;incidentally decide;18332;rectangular neatly;18114
9;Haaghaven;of hm;Belize;31840;2024-10-04;../fake-data/blob/hipster.txt;gymnast around;Shania_OKeefe@gmail.com;victorious quarrel now;true;13450;2024-10-04;conceal painfully salty;26089;into after ack;19366
10;Port Charlotte;huge huddle lazily;Kuwait;23507;2024-10-04;../fake-data/blob/hipster.txt;adaptation pfft;Kirstin56@gmail.com;outflank gah boohoo;true;26266;2024-10-03;bore responsible;29553;boohoo incidentally;21360
