id;created_by;created_on;email;is_active;is_with_out_login;last_updated_by;last_updated_on;priority;school_district_id;status;subject;support_category_id;ticket_id;ticket_reference_number;user_id;user_name
1;9769;2024-10-04;Junior.Murray22@hotmail.com;true;true;14001;2024-10-04;honestly;15463;nephew tough ha;even whoever;11077;9806;25923;25313;unnaturally
2;11809;2024-10-04;Nakia_Runte@yahoo.com;true;false;8016;2024-10-04;overconfidently but foot;4623;vacation pfft generally;and sometimes;9516;14164;5455;19180;humidity fast
3;1727;2024-10-04;Concepcion12@gmail.com;true;false;29695;2024-10-04;volleyball desecrate duh;12738;reapply offensively;than amongst geez;6655;3053;7845;1958;since throughout
4;2466;2024-10-04;Bruce59@gmail.com;false;false;30559;2024-10-04;till;21042;easily readies coast;impanel blindly pish;7236;2235;12155;19549;train
5;30227;2024-10-04;Alfonzo_Okuneva@hotmail.com;true;true;4463;2024-10-04;deployment pretty;11877;intensely when blissfully;ack;19671;19667;26366;29836;kinase boo excluding
6;32232;2024-10-04;Florian_Quigley@yahoo.com;true;false;32209;2024-10-04;up for oh;4395;legging;through angle;2766;27897;17604;7008;onto mantua curse
7;29263;2024-10-04;Adele_Swaniawski@hotmail.com;false;false;20310;2024-10-03;defensive;24923;management;pressure bid cease;2171;27833;5101;23873;drain hmph arrogantly
8;25141;2024-10-04;Arthur_Schiller@yahoo.com;true;false;10298;2024-10-04;separately hospitable brr;20228;pace colour;er failing;1009;11343;1819;6410;while readily
9;23902;2024-10-04;Virginia_Romaguera@gmail.com;false;false;1619;2024-10-04;ribbon deafening as;25191;before afore portly;rural;28440;24100;11376;17011;considering commodity
10;7429;2024-10-04;Drake_Wiegand@yahoo.com;true;true;13335;2024-10-04;bah gadzooks executor;7987;excepting;alligator;29567;26091;2263;31598;perfectly mythology poorly
